id,Course,Year,NumClasses,FirstTimePref,SecondTimePref,ThirdTimePref
187,CMSC 99999,1,2,Evening,Morning,Afternoon
188,CMSC 99999,3,6,Evening,Afternoon,Morning
189,CMSC 99999,3,11,Afternoon,Morning,Evening
190,CMSC 99999,1,4,Morning,Evening,Afternoon
191,CMSC 99999,2,10,Evening,Morning,Afternoon
192,CMSC 99999,1,4,Morning,Evening,Afternoon
193,CMSC 99999,2,3,Afternoon,Evening,Morning
194,CMSC 99999,3,1,Morning,Evening,Afternoon
195,CMSC 99999,4,3,Afternoon,Morning,Evening
196,CMSC 99999,1,1,Afternoon,Morning,Evening
197,CMSC 99999,3,2,Morning,Afternoon,Evening
198,CMSC 99999,4,6,Morning,Evening,Afternoon
199,CMSC 99999,2,10,Afternoon,Morning,Evening
200,CMSC 99999,4,13,Morning,Afternoon,Evening
201,CMSC 99999,2,4,Afternoon,Morning,Evening
202,CMSC 99999,3,12,Afternoon,Morning,Evening
203,CMSC 99999,1,3,Afternoon,Morning,Evening
204,CMSC 99999,4,8,Morning,Evening,Afternoon
205,CMSC 99999,2,4,Afternoon,Morning,Evening
206,CMSC 99999,2,10,Evening,Afternoon,Morning
207,CMSC 99999,1,2,Evening,Afternoon,Morning
208,CMSC 99999,4,9,Afternoon,Evening,Morning
209,CMSC 99999,3,9,Evening,Afternoon,Morning
210,CMSC 99999,1,4,Evening,Morning,Afternoon
211,CMSC 99999,3,6,Morning,Evening,Afternoon
212,CMSC 99999,3,3,Morning,Afternoon,Evening
213,CMSC 99999,1,2,Morning,Evening,Afternoon
214,CMSC 99999,1,1,Afternoon,Evening,Morning
215,CMSC 99999,2,9,Morning,Afternoon,Evening
216,CMSC 99999,4,8,Evening,Morning,Afternoon
217,CMSC 99999,3,5,Morning,Afternoon,Evening
218,CMSC 99999,3,8,Afternoon,Morning,Evening
219,CMSC 99999,2,4,Afternoon,Evening,Morning
220,CMSC 99999,2,5,Afternoon,Evening,Morning
221,CMSC 99999,2,8,Afternoon,Morning,Evening
222,CMSC 99999,3,7,Morning,Evening,Afternoon
223,CMSC 99999,1,1,Morning,Afternoon,Evening
224,CMSC 99999,2,3,Evening,Morning,Afternoon
225,CMSC 99999,4,3,Afternoon,Evening,Morning
226,CMSC 99999,3,10,Afternoon,Morning,Evening
227,CMSC 99999,3,6,Afternoon,Evening,Morning
228,CMSC 99999,2,1,Evening,Afternoon,Morning
229,CMSC 99999,2,3,Evening,Afternoon,Morning
230,CMSC 99999,1,1,Afternoon,Evening,Morning
231,CMSC 99999,3,8,Morning,Evening,Afternoon
232,CMSC 99999,1,4,Morning,Evening,Afternoon
233,CMSC 99999,1,3,Evening,Morning,Afternoon
234,CMSC 99999,1,1,Morning,Afternoon,Evening
235,CMSC 99999,2,8,Evening,Morning,Afternoon
236,CMSC 99999,1,2,Afternoon,Evening,Morning
237,CMSC 99999,1,1,Evening,Afternoon,Morning
238,CMSC 99999,3,11,Evening,Afternoon,Morning
239,CMSC 99999,3,11,Evening,Afternoon,Morning
240,CMSC 99999,2,8,Morning,Afternoon,Evening
241,CMSC 99999,1,3,Evening,Morning,Afternoon
242,CMSC 99999,3,4,Morning,Evening,Afternoon
243,CMSC 99999,2,4,Afternoon,Morning,Evening
244,CMSC 99999,2,8,Afternoon,Morning,Evening
245,CMSC 99999,4,12,Morning,Evening,Afternoon
246,CMSC 99999,4,4,Afternoon,Evening,Morning
247,CMSC 99999,4,9,Morning,Evening,Afternoon
248,CMSC 99999,2,7,Afternoon,Evening,Morning
249,CMSC 99999,3,1,Afternoon,Morning,Evening
250,CMSC 99999,2,7,Morning,Evening,Afternoon
251,CMSC 99999,3,7,Morning,Afternoon,Evening
252,CMSC 99999,1,3,Afternoon,Evening,Morning
253,CMSC 99999,3,9,Afternoon,Evening,Morning
254,CMSC 99999,3,10,Morning,Afternoon,Evening
255,CMSC 99999,1,4,Afternoon,Evening,Morning
256,CMSC 99999,2,2,Evening,Morning,Afternoon
257,CMSC 99999,1,2,Evening,Morning,Afternoon
258,CMSC 99999,4,11,Morning,Afternoon,Evening
259,CMSC 99999,1,2,Evening,Afternoon,Morning
260,CMSC 99999,2,7,Evening,Morning,Afternoon
261,CMSC 99999,4,3,Evening,Morning,Afternoon
262,CMSC 99999,4,13,Evening,Afternoon,Morning
263,CMSC 99999,2,10,Morning,Evening,Afternoon
264,CMSC 99999,4,14,Evening,Afternoon,Morning
265,CMSC 99999,3,7,Afternoon,Morning,Evening
266,CMSC 99999,1,1,Afternoon,Morning,Evening
267,CMSC 99999,3,5,Afternoon,Morning,Evening
268,CMSC 99999,1,4,Morning,Evening,Afternoon
269,CMSC 99999,3,12,Evening,Afternoon,Morning
270,CMSC 99999,2,10,Afternoon,Evening,Morning
271,CMSC 99999,3,11,Afternoon,Morning,Evening
272,CMSC 99999,4,6,Evening,Afternoon,Morning
273,CMSC 99999,4,3,Morning,Evening,Afternoon
274,CMSC 99999,2,2,Evening,Afternoon,Morning
275,CMSC 99999,3,8,Afternoon,Morning,Evening
276,CMSC 99999,1,1,Morning,Evening,Afternoon
277,CMSC 99999,4,10,Evening,Morning,Afternoon
278,CMSC 99999,2,1,Morning,Evening,Afternoon
279,CMSC 99999,2,2,Afternoon,Morning,Evening
280,CMSC 99999,3,7,Evening,Morning,Afternoon
281,CMSC 99999,3,5,Afternoon,Morning,Evening
282,CMSC 99999,4,14,Afternoon,Morning,Evening
283,CMSC 99999,2,1,Evening,Afternoon,Morning
284,CMSC 99999,3,12,Evening,Morning,Afternoon
285,CMSC 99999,4,7,Evening,Morning,Afternoon
286,CMSC 99999,4,13,Morning,Evening,Afternoon
287,CMSC 99999,3,9,Evening,Afternoon,Morning
288,CMSC 99999,3,8,Afternoon,Evening,Morning
289,CMSC 99999,4,1,Morning,Afternoon,Evening
290,CMSC 99999,3,10,Afternoon,Morning,Evening
291,CMSC 99999,4,9,Afternoon,Morning,Evening
292,CMSC 99999,3,10,Evening,Morning,Afternoon
293,CMSC 99999,1,1,Morning,Afternoon,Evening
294,CMSC 99999,4,6,Afternoon,Evening,Morning
295,CMSC 99999,1,2,Evening,Afternoon,Morning
296,CMSC 99999,1,1,Evening,Afternoon,Morning
297,CMSC 99999,4,1,Morning,Afternoon,Evening
298,CMSC 99999,4,5,Morning,Evening,Afternoon
299,CMSC 99999,4,2,Morning,Evening,Afternoon
300,CMSC 99999,4,4,Afternoon,Evening,Morning
301,CMSC 99999,2,5,Morning,Evening,Afternoon
302,CMSC 99999,1,3,Afternoon,Evening,Morning
303,CMSC 99999,3,4,Evening,Morning,Afternoon
304,CMSC 99999,3,7,Evening,Afternoon,Morning
305,CMSC 99999,2,10,Morning,Evening,Afternoon
306,CMSC 99999,3,4,Morning,Afternoon,Evening
307,CMSC 99999,2,6,Afternoon,Morning,Evening
308,CMSC 99999,2,10,Afternoon,Morning,Evening
309,CMSC 99999,3,3,Morning,Afternoon,Evening
310,CMSC 99999,2,2,Morning,Afternoon,Evening
311,CMSC 99999,4,9,Morning,Afternoon,Evening
312,CMSC 99999,3,9,Afternoon,Morning,Evening
313,CMSC 99999,1,2,Morning,Evening,Afternoon
314,CMSC 99999,1,2,Evening,Afternoon,Morning
315,CMSC 99999,4,3,Evening,Afternoon,Morning
316,CMSC 99999,3,11,Afternoon,Morning,Evening
317,CMSC 99999,1,1,Afternoon,Morning,Evening
318,CMSC 99999,4,13,Morning,Afternoon,Evening
319,CMSC 99999,2,7,Evening,Afternoon,Morning
320,CMSC 99999,3,5,Evening,Morning,Afternoon
321,CMSC 99999,4,4,Afternoon,Evening,Morning
322,CMSC 99999,2,10,Evening,Morning,Afternoon
323,CMSC 99999,3,10,Evening,Morning,Afternoon
324,CMSC 99999,2,5,Evening,Morning,Afternoon
325,CMSC 99999,1,2,Morning,Afternoon,Evening
326,CMSC 99999,2,10,Evening,Afternoon,Morning
327,CMSC 99999,3,11,Afternoon,Evening,Morning
328,CMSC 99999,2,3,Evening,Afternoon,Morning
329,CMSC 99999,1,1,Afternoon,Evening,Morning
330,CMSC 99999,4,11,Evening,Afternoon,Morning
331,CMSC 99999,2,4,Morning,Afternoon,Evening
332,CMSC 99999,3,8,Evening,Morning,Afternoon
333,CMSC 99999,4,3,Evening,Afternoon,Morning
334,CMSC 99999,4,1,Morning,Afternoon,Evening
335,CMSC 99999,2,8,Afternoon,Evening,Morning
336,CMSC 99999,3,12,Evening,Afternoon,Morning
337,CMSC 99999,4,8,Morning,Evening,Afternoon
338,CMSC 99999,2,8,Evening,Afternoon,Morning
339,CMSC 99999,2,6,Afternoon,Morning,Evening
340,CMSC 99999,1,3,Evening,Afternoon,Morning
341,CMSC 99999,2,6,Morning,Evening,Afternoon
342,CMSC 99999,1,4,Afternoon,Evening,Morning
343,CMSC 99999,3,4,Evening,Afternoon,Morning
344,CMSC 99999,1,2,Evening,Morning,Afternoon
345,CMSC 99999,4,12,Evening,Afternoon,Morning
346,CMSC 99999,2,4,Morning,Evening,Afternoon
347,CMSC 99999,3,1,Morning,Afternoon,Evening
348,CMSC 99999,3,12,Afternoon,Morning,Evening
349,CMSC 99999,2,4,Morning,Evening,Afternoon
350,CMSC 99999,4,11,Evening,Morning,Afternoon
351,CMSC 99999,4,3,Afternoon,Evening,Morning
352,CMSC 99999,3,11,Morning,Afternoon,Evening
353,CMSC 99999,4,11,Morning,Evening,Afternoon
354,CMSC 99999,1,3,Evening,Morning,Afternoon
355,CMSC 99999,1,3,Afternoon,Evening,Morning
356,CMSC 99999,4,3,Evening,Morning,Afternoon
357,CMSC 99999,4,4,Morning,Evening,Afternoon
358,CMSC 99999,4,4,Morning,Afternoon,Evening
359,CMSC 99999,3,3,Morning,Evening,Afternoon
360,CMSC 99999,2,1,Afternoon,Morning,Evening
361,CMSC 99999,2,9,Morning,Afternoon,Evening
362,CMSC 99999,4,8,Morning,Afternoon,Evening
363,CMSC 99999,2,4,Evening,Morning,Afternoon
364,CMSC 99999,1,3,Evening,Afternoon,Morning
365,CMSC 99999,3,4,Evening,Afternoon,Morning
366,CMSC 99999,2,8,Evening,Afternoon,Morning
367,CMSC 99999,3,6,Morning,Afternoon,Evening
368,CMSC 99999,4,4,Morning,Afternoon,Evening
369,CMSC 99999,3,8,Evening,Morning,Afternoon
370,CMSC 99999,2,3,Evening,Morning,Afternoon
371,CMSC 99999,2,4,Morning,Evening,Afternoon
372,CMSC 99999,3,12,Morning,Afternoon,Evening
373,CMSC 99999,2,5,Evening,Morning,Afternoon
374,CMSC 99999,4,4,Afternoon,Evening,Morning
375,CMSC 99999,4,7,Afternoon,Morning,Evening
376,CMSC 99999,1,3,Afternoon,Evening,Morning
377,CMSC 99999,2,4,Morning,Afternoon,Evening
378,CMSC 99999,2,10,Morning,Evening,Afternoon
379,CMSC 99999,4,11,Evening,Afternoon,Morning
380,CMSC 99999,4,4,Evening,Morning,Afternoon
381,CMSC 99999,4,9,Afternoon,Evening,Morning
382,CMSC 99999,1,1,Morning,Afternoon,Evening
383,CMSC 99999,3,2,Morning,Afternoon,Evening
384,CMSC 99999,1,2,Afternoon,Morning,Evening
385,CMSC 99999,1,3,Morning,Evening,Afternoon
386,CMSC 99999,4,6,Morning,Afternoon,Evening
387,CMSC 99999,2,2,Evening,Morning,Afternoon
388,CMSC 99999,1,3,Afternoon,Evening,Morning
389,CMSC 99999,4,9,Evening,Morning,Afternoon
390,CMSC 99999,4,9,Evening,Afternoon,Morning
391,CMSC 99999,4,3,Evening,Afternoon,Morning
392,CMSC 99999,3,3,Morning,Evening,Afternoon
393,CMSC 99999,1,2,Morning,Evening,Afternoon
394,CMSC 99999,4,1,Afternoon,Evening,Morning
395,CMSC 99999,4,1,Evening,Afternoon,Morning
396,CMSC 99999,1,2,Afternoon,Evening,Morning
397,CMSC 99999,3,8,Evening,Afternoon,Morning
398,CMSC 99999,3,11,Morning,Evening,Afternoon
399,CMSC 99999,2,8,Evening,Morning,Afternoon
400,CMSC 99999,4,9,Afternoon,Evening,Morning
401,CMSC 99999,4,5,Afternoon,Morning,Evening
402,CMSC 99999,2,9,Afternoon,Morning,Evening
403,CMSC 99999,1,2,Afternoon,Evening,Morning
404,CMSC 99999,2,3,Afternoon,Morning,Evening
405,CMSC 99999,1,4,Evening,Afternoon,Morning
406,CMSC 99999,4,11,Afternoon,Morning,Evening
407,CMSC 99999,4,1,Morning,Afternoon,Evening
408,CMSC 99999,1,2,Evening,Afternoon,Morning
409,CMSC 99999,1,4,Afternoon,Evening,Morning
410,CMSC 99999,3,6,Afternoon,Evening,Morning
411,CMSC 99999,3,4,Evening,Morning,Afternoon
412,CMSC 99999,3,8,Evening,Afternoon,Morning
413,CMSC 99999,2,8,Afternoon,Morning,Evening
414,CMSC 99999,1,4,Afternoon,Morning,Evening
415,CMSC 99999,3,1,Afternoon,Evening,Morning
416,CMSC 99999,3,3,Evening,Morning,Afternoon
417,CMSC 99999,1,2,Evening,Afternoon,Morning
418,CMSC 99999,3,3,Morning,Evening,Afternoon
419,CMSC 99999,2,10,Evening,Afternoon,Morning
420,CMSC 99999,1,1,Evening,Afternoon,Morning
421,CMSC 99999,2,10,Evening,Morning,Afternoon
422,CMSC 99999,1,3,Evening,Afternoon,Morning
423,CMSC 99999,2,4,Morning,Evening,Afternoon
424,CMSC 99999,1,1,Evening,Afternoon,Morning
425,CMSC 99999,4,12,Afternoon,Evening,Morning
426,CMSC 99999,2,6,Evening,Morning,Afternoon
427,CMSC 99999,4,13,Afternoon,Morning,Evening
428,CMSC 99999,1,2,Afternoon,Morning,Evening
429,CMSC 99999,3,11,Evening,Afternoon,Morning
430,CMSC 99999,1,3,Afternoon,Morning,Evening
431,CMSC 99999,4,6,Evening,Morning,Afternoon
432,CMSC 99999,1,1,Morning,Evening,Afternoon
433,CMSC 99999,1,4,Afternoon,Evening,Morning
434,CMSC 99999,2,1,Morning,Afternoon,Evening
435,CMSC 99999,2,5,Afternoon,Evening,Morning
436,CMSC 99999,3,10,Afternoon,Morning,Evening
437,CMSC 99999,1,3,Afternoon,Morning,Evening
438,CMSC 99999,2,9,Morning,Afternoon,Evening
439,CMSC 99999,1,1,Afternoon,Morning,Evening
440,CMSC 99999,1,2,Morning,Evening,Afternoon
441,CMSC 99999,2,9,Morning,Afternoon,Evening
442,CMSC 99999,4,7,Morning,Afternoon,Evening
443,CMSC 99999,1,2,Morning,Evening,Afternoon
444,CMSC 99999,1,1,Afternoon,Morning,Evening
445,CMSC 99999,3,7,Evening,Afternoon,Morning
446,CMSC 99999,4,10,Afternoon,Morning,Evening
447,CMSC 99999,3,9,Evening,Afternoon,Morning
448,CMSC 99999,3,1,Evening,Morning,Afternoon
449,CMSC 99999,3,11,Evening,Afternoon,Morning
450,CMSC 99999,4,2,Morning,Evening,Afternoon
451,CMSC 99999,4,12,Evening,Morning,Afternoon
452,CMSC 99999,4,10,Afternoon,Morning,Evening
453,CMSC 99999,4,14,Morning,Evening,Afternoon
454,CMSC 99999,4,9,Evening,Morning,Afternoon
455,CMSC 99999,1,4,Afternoon,Evening,Morning
456,CMSC 99999,4,3,Evening,Afternoon,Morning
457,CMSC 99999,1,3,Evening,Morning,Afternoon
458,CMSC 99999,2,8,Afternoon,Evening,Morning
459,CMSC 99999,3,1,Morning,Afternoon,Evening
460,CMSC 99999,1,1,Afternoon,Morning,Evening
461,CMSC 99999,3,11,Afternoon,Evening,Morning
462,CMSC 99999,2,1,Evening,Afternoon,Morning
463,CMSC 99999,1,3,Evening,Afternoon,Morning
464,CMSC 99999,2,6,Evening,Morning,Afternoon
465,CMSC 99999,3,12,Afternoon,Evening,Morning
466,CMSC 99999,3,12,Morning,Evening,Afternoon
467,CMSC 99999,2,2,Afternoon,Evening,Morning
468,CMSC 99999,1,4,Afternoon,Morning,Evening
469,CMSC 99999,2,3,Afternoon,Morning,Evening
470,CMSC 99999,3,1,Afternoon,Evening,Morning
471,CMSC 99999,2,7,Evening,Afternoon,Morning
472,CMSC 99999,3,12,Evening,Morning,Afternoon
473,CMSC 99999,3,12,Morning,Evening,Afternoon
474,CMSC 99999,2,3,Evening,Morning,Afternoon
475,CMSC 99999,3,9,Evening,Afternoon,Morning
476,CMSC 99999,3,2,Morning,Evening,Afternoon
477,CMSC 99999,1,4,Evening,Morning,Afternoon
478,CMSC 99999,1,3,Morning,Afternoon,Evening
479,CMSC 99999,1,3,Afternoon,Morning,Evening
480,CMSC 99999,2,4,Morning,Evening,Afternoon
481,CMSC 99999,3,3,Afternoon,Evening,Morning
482,CMSC 99999,4,11,Morning,Evening,Afternoon
483,CMSC 99999,1,3,Morning,Evening,Afternoon
484,CMSC 99999,3,4,Morning,Afternoon,Evening
485,CMSC 99999,4,14,Morning,Afternoon,Evening
486,CMSC 99999,4,3,Evening,Afternoon,Morning
487,CMSC 99999,4,8,Morning,Afternoon,Evening
488,CMSC 99999,2,10,Morning,Evening,Afternoon
489,CMSC 99999,1,4,Evening,Morning,Afternoon
490,CMSC 99999,3,6,Afternoon,Morning,Evening
491,CMSC 99999,3,1,Morning,Evening,Afternoon
492,CMSC 99999,3,11,Evening,Morning,Afternoon
493,CMSC 99999,2,1,Afternoon,Morning,Evening
494,CMSC 99999,3,1,Evening,Afternoon,Morning
495,CMSC 99999,1,1,Evening,Morning,Afternoon
496,CMSC 99999,4,3,Evening,Morning,Afternoon
